CUTM1K,Longitude,Latitude,Taxonomic groups,Genus,Species,Confirmed
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Polygala,Polygala serpyllifolia,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Polygala,Polygala vulgaris,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Potentilla,Potentilla erecta,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Prunella,Prunella modularis,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Pterospartum,Pterospartum tridentatum,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Ptyonoprogne,Ptyonoprogne rupestris,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Pyrrhula,Pyrrhula pyrrhula,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Ranunculus,Ranunculus bulbosus,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Regulus,Regulus ignicapilla,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Rhinanthus,Rhinanthus minor,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Rubus,Rubus ulmifolius,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Rumex,Rumex acetosella,"1"
PG8250,-6.7983498243,41.9834567978,Amphibians,Salamandra,Salamandra salamandra,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Saxicola,Saxicola rubicola,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Scleranthus,Scleranthus annuus,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Scrophularia,Scrophularia herminii,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Sedum,Sedum arenarium,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Sedum,Sedum brevifolium,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Sedum,Sedum pedicellatum,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Serinus,Serinus serinus,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Spergula,Spergula morisonii,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Streptopelia,Streptopelia decaocto,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Streptopelia,Streptopelia turtur,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Sturnus,Sturnus unicolor,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Sylvia,Sylvia atricapilla,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Teesdalia,Teesdalia nudicaulis,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Thymus,Thymus pulegioides,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Trifolium,Trifolium dubium,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Trifolium,Trifolium pratense,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Trifolium,Trifolium repens,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Troglodytes,Troglodytes troglodytes,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Tuberaria,Tuberaria guttata,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Turdus,Turdus merula,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Turdus,Turdus viscivorus,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Viola,Viola bubanii,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Viola,Viola palustris,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Viola,Viola parvula,"1"
